rank, msg_num, timestamp
5, 0, 1550711482.256843
5, 1, 1550711482.329450
5, 2, 1550711482.329538
5, 3, 1550711482.329592
5, 4, 1550711482.329640
5, 5, 1550711482.329688
5, 6, 1550711482.329734
5, 7, 1550711482.329781
5, 8, 1550711482.329838
5, 9, 1550711482.329884
5, 10, 1550711482.329929
5, 11, 1550711482.329969
5, 12, 1550711482.330006
5, 13, 1550711482.330042
5, 14, 1550711482.330078
5, 15, 1550711482.330115
5, 16, 1550711482.330151
5, 17, 1550711482.330186
5, 18, 1550711482.330222
5, 19, 1550711482.330270
5, 20, 1550711482.330307
5, 21, 1550711482.330343
5, 22, 1550711482.330381
5, 23, 1550711482.330418
5, 24, 1550711482.330455
5, 25, 1550711482.330491
5, 26, 1550711482.330527
5, 27, 1550711482.330564
5, 28, 1550711482.330601
5, 29, 1550711482.330638
5, 30, 1550711482.330675
5, 31, 1550711482.330723
5, 32, 1550711482.330759
5, 33, 1550711482.330795
5, 34, 1550711482.330835
5, 35, 1550711482.330872
5, 36, 1550711482.330908
5, 37, 1550711482.330944
5, 38, 1550711482.330979
5, 39, 1550711482.331016
5, 40, 1550711482.331052
5, 41, 1550711482.331088
5, 42, 1550711482.331123
5, 43, 1550711482.331158
5, 44, 1550711482.331193
5, 45, 1550711482.331228
5, 46, 1550711482.331273
5, 47, 1550711482.331309
5, 48, 1550711482.331345
5, 49, 1550711482.331394
5, 50, 1550711482.331430
5, 51, 1550711482.331467
5, 52, 1550711482.331503
5, 53, 1550711482.331539
5, 54, 1550711482.331575
5, 55, 1550711482.331612
5, 56, 1550711482.331648
5, 57, 1550711482.331684
5, 58, 1550711482.331731
5, 59, 1550711482.331766
5, 60, 1550711482.331801
5, 61, 1550711482.331836
5, 62, 1550711482.331871
5, 63, 1550711482.331906
5, 64, 1550711482.331941
5, 65, 1550711482.331975
5, 66, 1550711482.332011
5, 67, 1550711482.332046
5, 68, 1550711482.332081
5, 69, 1550711482.332116
5, 70, 1550711482.332151
5, 71, 1550711482.332187
5, 72, 1550711482.332286
5, 73, 1550711482.332326
5, 74, 1550711482.332364
5, 75, 1550711482.332401
5, 76, 1550711482.332438
5, 77, 1550711482.332474
5, 78, 1550711482.332511
5, 79, 1550711482.332559
5, 80, 1550711482.332595
5, 81, 1550711482.332630
5, 82, 1550711482.332666
5, 83, 1550711482.332702
5, 84, 1550711482.332737
5, 85, 1550711482.332772
5, 86, 1550711482.332808
5, 87, 1550711482.332843
5, 88, 1550711482.332878
5, 89, 1550711482.332913
5, 90, 1550711482.332948
5, 91, 1550711482.332983
5, 92, 1550711482.333019
5, 93, 1550711482.333054
5, 94, 1550711482.333089
5, 95, 1550711482.333124
5, 96, 1550711482.333159
5, 97, 1550711482.333194
5, 98, 1550711482.333229
5, 99, 1550711482.333264
5, 0, 1550711483.827012
5, 1, 1550711483.907156
5, 2, 1550711483.907247
5, 3, 1550711483.907299
5, 4, 1550711483.907348
5, 5, 1550711483.907395
5, 6, 1550711483.907441
5, 7, 1550711483.907486
5, 8, 1550711483.907531
5, 9, 1550711483.907577
5, 10, 1550711483.907622
5, 11, 1550711483.907662
5, 12, 1550711483.907699
5, 13, 1550711483.907735
5, 14, 1550711483.907771
5, 15, 1550711483.907807
5, 16, 1550711483.907843
5, 17, 1550711483.907879
5, 18, 1550711483.907916
5, 19, 1550711483.907951
5, 20, 1550711483.907987
5, 21, 1550711483.908022
5, 22, 1550711483.908058
5, 23, 1550711483.908094
5, 24, 1550711483.908129
5, 25, 1550711483.908165
5, 26, 1550711483.908200
5, 27, 1550711483.908292
5, 28, 1550711483.908334
5, 29, 1550711483.908370
5, 30, 1550711483.908407
5, 31, 1550711483.908443
5, 32, 1550711483.908479
5, 33, 1550711483.908514
5, 34, 1550711483.908550
5, 35, 1550711483.908586
5, 36, 1550711483.908622
5, 37, 1550711483.908657
5, 38, 1550711483.908693
5, 39, 1550711483.908729
5, 40, 1550711483.908764
5, 41, 1550711483.908800
5, 42, 1550711483.908836
5, 43, 1550711483.908872
5, 44, 1550711483.908907
5, 45, 1550711483.908943
5, 46, 1550711483.908979
5, 47, 1550711483.909014
5, 48, 1550711483.909050
5, 49, 1550711483.909086
5, 50, 1550711483.909122
5, 51, 1550711483.909157
5, 52, 1550711483.909193
5, 53, 1550711483.909229
5, 54, 1550711483.909273
5, 55, 1550711483.909309
5, 56, 1550711483.909346
5, 57, 1550711483.909381
5, 58, 1550711483.909417
5, 59, 1550711483.909452
5, 60, 1550711483.909487
5, 61, 1550711483.909523
5, 62, 1550711483.909558
5, 63, 1550711483.909602
5, 64, 1550711483.909655
5, 65, 1550711483.909698
5, 66, 1550711483.909735
5, 67, 1550711483.909771
5, 68, 1550711483.909807
5, 69, 1550711483.909843
5, 70, 1550711483.909878
5, 71, 1550711483.909926
5, 72, 1550711483.909961
5, 73, 1550711483.909996
5, 74, 1550711483.910030
5, 75, 1550711483.910065
5, 76, 1550711483.910100
5, 77, 1550711483.910134
5, 78, 1550711483.910169
5, 79, 1550711483.910216
5, 80, 1550711483.910252
5, 81, 1550711483.910288
5, 82, 1550711483.910324
5, 83, 1550711483.910360
5, 84, 1550711483.910396
5, 85, 1550711483.910432
5, 86, 1550711483.910468
5, 87, 1550711483.910504
5, 88, 1550711483.910540
5, 89, 1550711483.910575
5, 90, 1550711483.910611
5, 91, 1550711483.910647
5, 92, 1550711483.910683
5, 93, 1550711483.910719
5, 94, 1550711483.910754
5, 95, 1550711483.910790
5, 96, 1550711483.910826
5, 97, 1550711483.910861
5, 98, 1550711483.910897
5, 99, 1550711483.910933
5, 0, 1550711485.398646
5, 1, 1550711485.469619
5, 2, 1550711485.469706
5, 3, 1550711485.469756
5, 4, 1550711485.469804
5, 5, 1550711485.469849
5, 6, 1550711485.469894
5, 7, 1550711485.469950
5, 8, 1550711485.469995
5, 9, 1550711485.470043
5, 10, 1550711485.470089
5, 11, 1550711485.470129
5, 12, 1550711485.470168
5, 13, 1550711485.470206
5, 14, 1550711485.470253
5, 15, 1550711485.470294
5, 16, 1550711485.470332
5, 17, 1550711485.470368
5, 18, 1550711485.470404
5, 19, 1550711485.470439
5, 20, 1550711485.470474
5, 21, 1550711485.470509
5, 22, 1550711485.470545
5, 23, 1550711485.470579
5, 24, 1550711485.470614
5, 25, 1550711485.470649
5, 26, 1550711485.470683
5, 27, 1550711485.470718
5, 28, 1550711485.470753
5, 29, 1550711485.470788
5, 30, 1550711485.470822
5, 31, 1550711485.470856
5, 32, 1550711485.470891
5, 33, 1550711485.470925
5, 34, 1550711485.470960
5, 35, 1550711485.470995
5, 36, 1550711485.471042
5, 37, 1550711485.471078
5, 38, 1550711485.471113
5, 39, 1550711485.471149
5, 40, 1550711485.471185
5, 41, 1550711485.471220
5, 42, 1550711485.471255
5, 43, 1550711485.471291
5, 44, 1550711485.471326
5, 45, 1550711485.471362
5, 46, 1550711485.471397
5, 47, 1550711485.471434
5, 48, 1550711485.471470
5, 49, 1550711485.471505
5, 50, 1550711485.471541
5, 51, 1550711485.471576
5, 52, 1550711485.471611
5, 53, 1550711485.471647
5, 54, 1550711485.471687
5, 55, 1550711485.471724
5, 56, 1550711485.471759
5, 57, 1550711485.471795
5, 58, 1550711485.471831
5, 59, 1550711485.471877
5, 60, 1550711485.471911
5, 61, 1550711485.471945
5, 62, 1550711485.471992
5, 63, 1550711485.472027
5, 64, 1550711485.472062
5, 65, 1550711485.472098
5, 66, 1550711485.472133
5, 67, 1550711485.472168
5, 68, 1550711485.472240
5, 69, 1550711485.472303
5, 70, 1550711485.472340
5, 71, 1550711485.472376
5, 72, 1550711485.472411
5, 73, 1550711485.472446
5, 74, 1550711485.472481
5, 75, 1550711485.472516
5, 76, 1550711485.472551
5, 77, 1550711485.472586
5, 78, 1550711485.472621
5, 79, 1550711485.472657
5, 80, 1550711485.472693
5, 81, 1550711485.472727
5, 82, 1550711485.472762
5, 83, 1550711485.472797
5, 84, 1550711485.472831
5, 85, 1550711485.472866
5, 86, 1550711485.472900
5, 87, 1550711485.472935
5, 88, 1550711485.472978
5, 89, 1550711485.473015
5, 90, 1550711485.473050
5, 91, 1550711485.473089
5, 92, 1550711485.473125
5, 93, 1550711485.473160
5, 94, 1550711485.473194
5, 95, 1550711485.473229
5, 96, 1550711485.473276
5, 97, 1550711485.473312
5, 98, 1550711485.473348
5, 99, 1550711485.473383
5, 0, 1550711486.967196
5, 1, 1550711487.046995
5, 2, 1550711487.047086
5, 3, 1550711487.047139
5, 4, 1550711487.047188
5, 5, 1550711487.047235
5, 6, 1550711487.047282
5, 7, 1550711487.047328
5, 8, 1550711487.047375
5, 9, 1550711487.047427
5, 10, 1550711487.047474
5, 11, 1550711487.047515
5, 12, 1550711487.047553
5, 13, 1550711487.047590
5, 14, 1550711487.047627
5, 15, 1550711487.047663
5, 16, 1550711487.047699
5, 17, 1550711487.047735
5, 18, 1550711487.047772
5, 19, 1550711487.047809
5, 20, 1550711487.047845
5, 21, 1550711487.047882
5, 22, 1550711487.047918
5, 23, 1550711487.047954
5, 24, 1550711487.047991
5, 25, 1550711487.048027
5, 26, 1550711487.048064
5, 27, 1550711487.048112
5, 28, 1550711487.048147
5, 29, 1550711487.048196
5, 30, 1550711487.048294
5, 31, 1550711487.048335
5, 32, 1550711487.048372
5, 33, 1550711487.048409
5, 34, 1550711487.048445
5, 35, 1550711487.048481
5, 36, 1550711487.048518
5, 37, 1550711487.048566
5, 38, 1550711487.048601
5, 39, 1550711487.048649
5, 40, 1550711487.048686
5, 41, 1550711487.048722
5, 42, 1550711487.048758
5, 43, 1550711487.048794
5, 44, 1550711487.048837
5, 45, 1550711487.048874
5, 46, 1550711487.048912
5, 47, 1550711487.048960
5, 48, 1550711487.048996
5, 49, 1550711487.049043
5, 50, 1550711487.049080
5, 51, 1550711487.049117
5, 52, 1550711487.049153
5, 53, 1550711487.049189
5, 54, 1550711487.049226
5, 55, 1550711487.049262
5, 56, 1550711487.049299
5, 57, 1550711487.049346
5, 58, 1550711487.049382
5, 59, 1550711487.049417
5, 60, 1550711487.049453
5, 61, 1550711487.049488
5, 62, 1550711487.049523
5, 63, 1550711487.049559
5, 64, 1550711487.049603
5, 65, 1550711487.049639
5, 66, 1550711487.049688
5, 67, 1550711487.049725
5, 68, 1550711487.049761
5, 69, 1550711487.049797
5, 70, 1550711487.049834
5, 71, 1550711487.049871
5, 72, 1550711487.049907
5, 73, 1550711487.049943
5, 74, 1550711487.049980
5, 75, 1550711487.050016
5, 76, 1550711487.050052
5, 77, 1550711487.050088
5, 78, 1550711487.050125
5, 79, 1550711487.050162
5, 80, 1550711487.050202
5, 81, 1550711487.050240
5, 82, 1550711487.050276
5, 83, 1550711487.050312
5, 84, 1550711487.050348
5, 85, 1550711487.050384
5, 86, 1550711487.050420
5, 87, 1550711487.050456
5, 88, 1550711487.050493
5, 89, 1550711487.050529
5, 90, 1550711487.050570
5, 91, 1550711487.050611
5, 92, 1550711487.050648
5, 93, 1550711487.050684
5, 94, 1550711487.050720
5, 95, 1550711487.050757
5, 96, 1550711487.050792
5, 97, 1550711487.050828
5, 98, 1550711487.050864
5, 99, 1550711487.050899
5, 0, 1550711488.547173
5, 1, 1550711488.627132
5, 2, 1550711488.627220
5, 3, 1550711488.627274
5, 4, 1550711488.627324
5, 5, 1550711488.627373
5, 6, 1550711488.627420
5, 7, 1550711488.627467
5, 8, 1550711488.627514
5, 9, 1550711488.627561
5, 10, 1550711488.627607
5, 11, 1550711488.627649
5, 12, 1550711488.627687
5, 13, 1550711488.627725
5, 14, 1550711488.627762
5, 15, 1550711488.627800
5, 16, 1550711488.627837
5, 17, 1550711488.627875
5, 18, 1550711488.627913
5, 19, 1550711488.627949
5, 20, 1550711488.627998
5, 21, 1550711488.628035
5, 22, 1550711488.628083
5, 23, 1550711488.628120
5, 24, 1550711488.628157
5, 25, 1550711488.628194
5, 26, 1550711488.628279
5, 27, 1550711488.628322
5, 28, 1550711488.628360
5, 29, 1550711488.628397
5, 30, 1550711488.628435
5, 31, 1550711488.628476
5, 32, 1550711488.628515
5, 33, 1550711488.628553
5, 34, 1550711488.628590
5, 35, 1550711488.628627
5, 36, 1550711488.628664
5, 37, 1550711488.628701
5, 38, 1550711488.628738
5, 39, 1550711488.628775
5, 40, 1550711488.628812
5, 41, 1550711488.628861
5, 42, 1550711488.628897
5, 43, 1550711488.628945
