rank, msg_num, timestamp
3, 0, 1550709167.727141
3, 1, 1550709167.807172
3, 2, 1550709167.807210
3, 3, 1550709167.807220
3, 4, 1550709167.807230
3, 5, 1550709167.807238
3, 6, 1550709167.807246
3, 7, 1550709167.807255
3, 8, 1550709167.807263
3, 9, 1550709167.807271
3, 10, 1550709167.807279
3, 11, 1550709167.807285
3, 12, 1550709167.807290
3, 13, 1550709167.807296
3, 14, 1550709167.807301
3, 15, 1550709167.807305
3, 16, 1550709167.807310
3, 17, 1550709167.807320
3, 18, 1550709167.807326
3, 19, 1550709167.807330
3, 20, 1550709167.807335
3, 21, 1550709167.807339
3, 22, 1550709167.807344
3, 23, 1550709167.807350
3, 24, 1550709167.807355
3, 25, 1550709167.807360
3, 26, 1550709167.807364
3, 27, 1550709167.807369
3, 28, 1550709167.807373
3, 29, 1550709167.807379
3, 30, 1550709167.807383
3, 31, 1550709167.807387
3, 32, 1550709167.807392
3, 33, 1550709167.807396
3, 34, 1550709167.807401
3, 35, 1550709167.807405
3, 36, 1550709167.807411
3, 37, 1550709167.807421
3, 38, 1550709167.807425
3, 39, 1550709167.807430
3, 40, 1550709167.807435
3, 41, 1550709167.807439
3, 42, 1550709167.807443
3, 43, 1550709167.807447
3, 44, 1550709167.807452
3, 45, 1550709167.807456
3, 46, 1550709167.807461
3, 47, 1550709167.807466
3, 48, 1550709167.807470
3, 49, 1550709167.807474
rank, msg_num, timestamp
3, 0, 1550709169.230756
3, 1, 1550709169.301546
3, 2, 1550709169.301587
3, 3, 1550709169.301597
3, 4, 1550709169.301606
3, 5, 1550709169.301614
3, 6, 1550709169.301622
3, 7, 1550709169.301630
3, 8, 1550709169.301642
3, 9, 1550709169.301651
3, 10, 1550709169.301658
3, 11, 1550709169.301666
3, 12, 1550709169.301671
3, 13, 1550709169.301676
3, 14, 1550709169.301681
3, 15, 1550709169.301686
3, 16, 1550709169.301694
3, 17, 1550709169.301715
3, 18, 1550709169.301722
3, 19, 1550709169.301727
3, 20, 1550709169.301732
3, 21, 1550709169.301736
3, 22, 1550709169.301742
3, 23, 1550709169.301748
3, 24, 1550709169.301753
3, 25, 1550709169.301758
3, 26, 1550709169.301763
3, 27, 1550709169.301768
3, 28, 1550709169.301773
3, 29, 1550709169.301778
3, 30, 1550709169.301783
3, 31, 1550709169.301788
3, 32, 1550709169.301793
3, 33, 1550709169.301797
3, 34, 1550709169.301802
3, 35, 1550709169.301807
3, 36, 1550709169.301813
3, 37, 1550709169.301823
3, 38, 1550709169.301828
3, 39, 1550709169.301832
3, 40, 1550709169.301837
3, 41, 1550709169.301842
3, 42, 1550709169.301847
3, 43, 1550709169.301851
3, 44, 1550709169.301856
3, 45, 1550709169.301861
3, 46, 1550709169.301866
3, 47, 1550709169.301870
3, 48, 1550709169.301875
3, 49, 1550709169.301880
rank, msg_num, timestamp
3, 0, 1550709170.730884
3, 1, 1550709170.811072
3, 2, 1550709170.811107
3, 3, 1550709170.811117
3, 4, 1550709170.811125
3, 5, 1550709170.811134
3, 6, 1550709170.811142
3, 7, 1550709170.811150
3, 8, 1550709170.811158
3, 9, 1550709170.811166
3, 10, 1550709170.811173
3, 11, 1550709170.811181
3, 12, 1550709170.811186
3, 13, 1550709170.811192
3, 14, 1550709170.811196
3, 15, 1550709170.811202
3, 16, 1550709170.811211
3, 17, 1550709170.811216
3, 18, 1550709170.811222
3, 19, 1550709170.811226
3, 20, 1550709170.811231
3, 21, 1550709170.811235
3, 22, 1550709170.811240
3, 23, 1550709170.811246
3, 24, 1550709170.811251
3, 25, 1550709170.811255
3, 26, 1550709170.811260
3, 27, 1550709170.811264
3, 28, 1550709170.811269
3, 29, 1550709170.811274
3, 30, 1550709170.811279
3, 31, 1550709170.811283
3, 32, 1550709170.811287
3, 33, 1550709170.811292
3, 34, 1550709170.811296
3, 35, 1550709170.811301
3, 36, 1550709170.811307
3, 37, 1550709170.811316
3, 38, 1550709170.811321
3, 39, 1550709170.811326
3, 40, 1550709170.811330
3, 41, 1550709170.811335
3, 42, 1550709170.811339
3, 43, 1550709170.811343
3, 44, 1550709170.811348
3, 45, 1550709170.811352
3, 46, 1550709170.811357
3, 47, 1550709170.811361
3, 48, 1550709170.811366
3, 49, 1550709170.811370
rank, msg_num, timestamp
3, 0, 1550709172.235337
3, 1, 1550709172.315470
3, 2, 1550709172.315507
3, 3, 1550709172.315518
3, 4, 1550709172.315527
3, 5, 1550709172.315535
3, 6, 1550709172.315544
3, 7, 1550709172.315552
3, 8, 1550709172.315561
3, 9, 1550709172.315569
3, 10, 1550709172.315577
3, 11, 1550709172.315584
3, 12, 1550709172.315589
3, 13, 1550709172.315595
3, 14, 1550709172.315600
3, 15, 1550709172.315605
3, 16, 1550709172.315617
3, 17, 1550709172.315622
3, 18, 1550709172.315628
3, 19, 1550709172.315633
3, 20, 1550709172.315638
3, 21, 1550709172.315643
3, 22, 1550709172.315648
3, 23, 1550709172.315654
3, 24, 1550709172.315659
3, 25, 1550709172.315664
3, 26, 1550709172.315669
3, 27, 1550709172.315674
3, 28, 1550709172.315678
3, 29, 1550709172.315684
3, 30, 1550709172.315689
3, 31, 1550709172.315694
3, 32, 1550709172.315699
3, 33, 1550709172.315704
3, 34, 1550709172.315708
3, 35, 1550709172.315713
3, 36, 1550709172.315719
3, 37, 1550709172.315728
3, 38, 1550709172.315733
3, 39, 1550709172.315737
3, 40, 1550709172.315742
3, 41, 1550709172.315747
3, 42, 1550709172.315751
3, 43, 1550709172.315756
3, 44, 1550709172.315761
3, 45, 1550709172.315766
3, 46, 1550709172.315770
3, 47, 1550709172.315775
3, 48, 1550709172.315780
3, 49, 1550709172.315785
rank, msg_num, timestamp
