rank, msg_num, timestamp
1, 0, 1551405730.206875
2, 0, 1551405730.287272
3, 0, 1551405730.357619
1, 1, 1551405730.427879
2, 1, 1551405730.427916
3, 1, 1551405730.427929
1, 2, 1551405730.427978
2, 2, 1551405730.427994
3, 2, 1551405730.428002
1, 3, 1551405730.428041
2, 3, 1551405730.428055
3, 3, 1551405730.428062
1, 4, 1551405730.428101
2, 4, 1551405730.428115
3, 4, 1551405730.428122
1, 5, 1551405730.428158
2, 5, 1551405730.428171
3, 5, 1551405730.428179
1, 6, 1551405730.428214
2, 6, 1551405730.428227
3, 6, 1551405730.428235
1, 7, 1551405730.428270
2, 7, 1551405730.428282
3, 7, 1551405730.428290
1, 8, 1551405730.428324
2, 8, 1551405730.428336
3, 8, 1551405730.428344
1, 9, 1551405730.428379
2, 9, 1551405730.428391
3, 9, 1551405730.428399
1, 10, 1551405730.428440
2, 10, 1551405730.428452
3, 10, 1551405730.428458
1, 11, 1551405730.428490
2, 11, 1551405730.428500
3, 11, 1551405730.428504
1, 12, 1551405730.428535
2, 12, 1551405730.428544
3, 12, 1551405730.428548
1, 13, 1551405730.428583
2, 13, 1551405730.428592
3, 13, 1551405730.428597
1, 14, 1551405730.428628
2, 14, 1551405730.428636
3, 14, 1551405730.428641
1, 15, 1551405730.428671
2, 15, 1551405730.428680
3, 15, 1551405730.428684
1, 16, 1551405730.428714
2, 16, 1551405730.428722
3, 16, 1551405730.428727
1, 17, 1551405730.428757
2, 17, 1551405730.428765
3, 17, 1551405730.428770
1, 18, 1551405730.428799
2, 18, 1551405730.428808
3, 18, 1551405730.428812
1, 19, 1551405730.428842
2, 19, 1551405730.428850
3, 19, 1551405730.428855
1, 20, 1551405730.428885
2, 20, 1551405730.428893
3, 20, 1551405730.428897
1, 21, 1551405730.428927
2, 21, 1551405730.428935
3, 21, 1551405730.428940
1, 22, 1551405730.428969
2, 22, 1551405730.428978
3, 22, 1551405730.428982
1, 23, 1551405730.429012
2, 23, 1551405730.429020
3, 23, 1551405730.429024
1, 24, 1551405730.429054
2, 24, 1551405730.429062
3, 24, 1551405730.429066
1, 25, 1551405730.429096
2, 25, 1551405730.429104
3, 25, 1551405730.429109
1, 26, 1551405730.429138
2, 26, 1551405730.429146
3, 26, 1551405730.429151
1, 27, 1551405730.429186
2, 27, 1551405730.429194
3, 27, 1551405730.429200
1, 28, 1551405730.429230
2, 28, 1551405730.429239
3, 28, 1551405730.429244
1, 29, 1551405730.429274
2, 29, 1551405730.429282
3, 29, 1551405730.429286
1, 30, 1551405730.429315
2, 30, 1551405730.429323
3, 30, 1551405730.429328
1, 31, 1551405730.429357
2, 31, 1551405730.429365
3, 31, 1551405730.429370
1, 32, 1551405730.429399
2, 32, 1551405730.429408
3, 32, 1551405730.429412
1, 33, 1551405730.429441
2, 33, 1551405730.429450
3, 33, 1551405730.429454
1, 34, 1551405730.429483
2, 34, 1551405730.429491
3, 34, 1551405730.429496
1, 35, 1551405730.429525
2, 35, 1551405730.429533
3, 35, 1551405730.429538
1, 36, 1551405730.429567
2, 36, 1551405730.429575
3, 36, 1551405730.429579
1, 37, 1551405730.429644
2, 37, 1551405730.429655
3, 37, 1551405730.429660
1, 38, 1551405730.429694
2, 38, 1551405730.429703
3, 38, 1551405730.429708
1, 39, 1551405730.429738
2, 39, 1551405730.429746
3, 39, 1551405730.429751
1, 40, 1551405730.429781
2, 40, 1551405730.429790
3, 40, 1551405730.429794
1, 41, 1551405730.429823
2, 41, 1551405730.429832
3, 41, 1551405730.429836
1, 42, 1551405730.429865
2, 42, 1551405730.429874
3, 42, 1551405730.429878
1, 43, 1551405730.429908
2, 43, 1551405730.429916
3, 43, 1551405730.429920
1, 44, 1551405730.429950
2, 44, 1551405730.429958
3, 44, 1551405730.429967
1, 45, 1551405730.429999
2, 45, 1551405730.430008
3, 45, 1551405730.430013
1, 46, 1551405730.430043
2, 46, 1551405730.430051
3, 46, 1551405730.430055
1, 47, 1551405730.430087
2, 47, 1551405730.430095
3, 47, 1551405730.430099
1, 48, 1551405730.430129
2, 48, 1551405730.430137
3, 48, 1551405730.430141
1, 49, 1551405730.430171
2, 49, 1551405730.430179
3, 49, 1551405730.430184
1, 50, 1551405730.430213
2, 50, 1551405730.430221
3, 50, 1551405730.430225
1, 51, 1551405730.430255
2, 51, 1551405730.430263
3, 51, 1551405730.430267
1, 52, 1551405730.430297
2, 52, 1551405730.430305
3, 52, 1551405730.430309
1, 53, 1551405730.430339
2, 53, 1551405730.430347
3, 53, 1551405730.430351
1, 54, 1551405730.430381
2, 54, 1551405730.430389
3, 54, 1551405730.430393
1, 55, 1551405730.430436
2, 55, 1551405730.430445
3, 55, 1551405730.430449
1, 56, 1551405730.430480
2, 56, 1551405730.430488
3, 56, 1551405730.430493
1, 57, 1551405730.430522
2, 57, 1551405730.430530
3, 57, 1551405730.430535
1, 58, 1551405730.430564
2, 58, 1551405730.430572
3, 58, 1551405730.430576
1, 59, 1551405730.430610
2, 59, 1551405730.430619
3, 59, 1551405730.430624
1, 60, 1551405730.430653
2, 60, 1551405730.430661
3, 60, 1551405730.430666
1, 61, 1551405730.430695
2, 61, 1551405730.430703
3, 61, 1551405730.430709
1, 62, 1551405730.430739
2, 62, 1551405730.430748
3, 62, 1551405730.430752
1, 63, 1551405730.430793
2, 63, 1551405730.430801
3, 63, 1551405730.430805
1, 64, 1551405730.430846
2, 64, 1551405730.430854
3, 64, 1551405730.430858
1, 65, 1551405730.430887
2, 65, 1551405730.430895
3, 65, 1551405730.430900
1, 66, 1551405730.430929
2, 66, 1551405730.430937
3, 66, 1551405730.430941
1, 67, 1551405730.430970
2, 67, 1551405730.430979
3, 67, 1551405730.430983
1, 68, 1551405730.431012
2, 68, 1551405730.431020
3, 68, 1551405730.431025
1, 69, 1551405730.431054
2, 69, 1551405730.431062
3, 69, 1551405730.431067
1, 70, 1551405730.431096
2, 70, 1551405730.431103
3, 70, 1551405730.431108
1, 71, 1551405730.431137
2, 71, 1551405730.431145
3, 71, 1551405730.431149
1, 72, 1551405730.431179
2, 72, 1551405730.431187
3, 72, 1551405730.431191
1, 73, 1551405730.431220
2, 73, 1551405730.431228
3, 73, 1551405730.431233
1, 74, 1551405730.431262
2, 74, 1551405730.431270
3, 74, 1551405730.431274
1, 75, 1551405730.431304
2, 75, 1551405730.431312
3, 75, 1551405730.431316
1, 76, 1551405730.431345
2, 76, 1551405730.431357
3, 76, 1551405730.431362
1, 77, 1551405730.431392
2, 77, 1551405730.431400
3, 77, 1551405730.431405
1, 78, 1551405730.431434
2, 78, 1551405730.431442
3, 78, 1551405730.431447
1, 79, 1551405730.431477
2, 79, 1551405730.431486
3, 79, 1551405730.431490
1, 80, 1551405730.431528
2, 80, 1551405730.431537
3, 80, 1551405730.431541
1, 81, 1551405730.431571
2, 81, 1551405730.431579
3, 81, 1551405730.431584
1, 82, 1551405730.431613
2, 82, 1551405730.431621
3, 82, 1551405730.431625
1, 83, 1551405730.431654
2, 83, 1551405730.431662
3, 83, 1551405730.431667
1, 84, 1551405730.431696
2, 84, 1551405730.431704
3, 84, 1551405730.431708
1, 85, 1551405730.431737
2, 85, 1551405730.431745
3, 85, 1551405730.431750
1, 86, 1551405730.431805
2, 86, 1551405730.431815
3, 86, 1551405730.431819
1, 87, 1551405730.431849
2, 87, 1551405730.431858
3, 87, 1551405730.431862
1, 88, 1551405730.431891
2, 88, 1551405730.431900
3, 88, 1551405730.431904
1, 89, 1551405730.431934
2, 89, 1551405730.431942
3, 89, 1551405730.431946
1, 90, 1551405730.431975
2, 90, 1551405730.431984
3, 90, 1551405730.431988
1, 91, 1551405730.432022
2, 91, 1551405730.432031
3, 91, 1551405730.432035
1, 92, 1551405730.432065
2, 92, 1551405730.432073
3, 92, 1551405730.432078
1, 93, 1551405730.432107
2, 93, 1551405730.432116
3, 93, 1551405730.432120
1, 94, 1551405730.432149
2, 94, 1551405730.432158
3, 94, 1551405730.432162
1, 95, 1551405730.432192
2, 95, 1551405730.432200
3, 95, 1551405730.432206
1, 96, 1551405730.432235
2, 96, 1551405730.432245
3, 96, 1551405730.432249
1, 97, 1551405730.432278
2, 97, 1551405730.432286
3, 97, 1551405730.432291
1, 98, 1551405730.432320
2, 98, 1551405730.432328
3, 98, 1551405730.432333
1, 99, 1551405730.432362
2, 99, 1551405730.432370
3, 99, 1551405730.432375
