rank, msg_num, timestamp
1, 0, 1550709167.725679
1, 1, 1550709167.806115
1, 2, 1550709167.806145
1, 3, 1550709167.806155
1, 4, 1550709167.806163
1, 5, 1550709167.806171
1, 6, 1550709167.806178
1, 7, 1550709167.806185
1, 8, 1550709167.806193
1, 9, 1550709167.806200
1, 10, 1550709167.806207
1, 11, 1550709167.806213
1, 12, 1550709167.806218
1, 13, 1550709167.806224
1, 14, 1550709167.806228
1, 15, 1550709167.806233
1, 16, 1550709167.806238
1, 17, 1550709167.806242
1, 18, 1550709167.806247
1, 19, 1550709167.806252
1, 20, 1550709167.806276
1, 21, 1550709167.806282
1, 22, 1550709167.806286
1, 23, 1550709167.806292
1, 24, 1550709167.806297
1, 25, 1550709167.806302
1, 26, 1550709167.806306
1, 27, 1550709167.806311
1, 28, 1550709167.806316
1, 29, 1550709167.806321
1, 30, 1550709167.806326
1, 31, 1550709167.806331
1, 32, 1550709167.806336
1, 33, 1550709167.806340
1, 34, 1550709167.806345
1, 35, 1550709167.806350
1, 36, 1550709167.806356
1, 37, 1550709167.806364
1, 38, 1550709167.806369
1, 39, 1550709167.806374
1, 40, 1550709167.806379
1, 41, 1550709167.806383
1, 42, 1550709167.806388
1, 43, 1550709167.806392
1, 44, 1550709167.806397
1, 45, 1550709167.806402
1, 46, 1550709167.806406
1, 47, 1550709167.806423
1, 48, 1550709167.806428
1, 49, 1550709167.806432
rank, msg_num, timestamp
1, 0, 1550709169.229231
1, 1, 1550709169.299919
1, 2, 1550709169.299944
1, 3, 1550709169.299954
1, 4, 1550709169.299961
1, 5, 1550709169.299968
1, 6, 1550709169.299975
1, 7, 1550709169.299982
1, 8, 1550709169.299989
1, 9, 1550709169.299996
1, 10, 1550709169.300003
1, 11, 1550709169.300009
1, 12, 1550709169.300013
1, 13, 1550709169.300018
1, 14, 1550709169.300022
1, 15, 1550709169.300026
1, 16, 1550709169.300030
1, 17, 1550709169.300035
1, 18, 1550709169.300040
1, 19, 1550709169.300048
1, 20, 1550709169.300052
1, 21, 1550709169.300057
1, 22, 1550709169.300061
1, 23, 1550709169.300066
1, 24, 1550709169.300070
1, 25, 1550709169.300075
1, 26, 1550709169.300079
1, 27, 1550709169.300083
1, 28, 1550709169.300087
1, 29, 1550709169.300092
1, 30, 1550709169.300096
1, 31, 1550709169.300100
1, 32, 1550709169.300104
1, 33, 1550709169.300108
1, 34, 1550709169.300113
1, 35, 1550709169.300117
1, 36, 1550709169.300122
1, 37, 1550709169.300141
1, 38, 1550709169.300146
1, 39, 1550709169.300150
1, 40, 1550709169.300155
1, 41, 1550709169.300159
1, 42, 1550709169.300163
1, 43, 1550709169.300167
1, 44, 1550709169.300172
1, 45, 1550709169.300176
1, 46, 1550709169.300180
1, 47, 1550709169.300184
1, 48, 1550709169.300188
1, 49, 1550709169.300193
rank, msg_num, timestamp
1, 0, 1550709170.729370
1, 1, 1550709170.810036
1, 2, 1550709170.810066
1, 3, 1550709170.810076
1, 4, 1550709170.810084
1, 5, 1550709170.810091
1, 6, 1550709170.810098
1, 7, 1550709170.810106
1, 8, 1550709170.810113
1, 9, 1550709170.810133
1, 10, 1550709170.810141
1, 11, 1550709170.810148
1, 12, 1550709170.810153
1, 13, 1550709170.810158
1, 14, 1550709170.810163
1, 15, 1550709170.810168
1, 16, 1550709170.810173
1, 17, 1550709170.810178
1, 18, 1550709170.810183
1, 19, 1550709170.810191
1, 20, 1550709170.810196
1, 21, 1550709170.810201
1, 22, 1550709170.810206
1, 23, 1550709170.810212
1, 24, 1550709170.810217
1, 25, 1550709170.810222
1, 26, 1550709170.810227
1, 27, 1550709170.810231
1, 28, 1550709170.810236
1, 29, 1550709170.810242
1, 30, 1550709170.810247
1, 31, 1550709170.810252
1, 32, 1550709170.810272
1, 33, 1550709170.810277
1, 34, 1550709170.810282
1, 35, 1550709170.810286
1, 36, 1550709170.810292
1, 37, 1550709170.810301
1, 38, 1550709170.810306
1, 39, 1550709170.810310
1, 40, 1550709170.810315
1, 41, 1550709170.810320
1, 42, 1550709170.810324
1, 43, 1550709170.810329
1, 44, 1550709170.810334
1, 45, 1550709170.810339
1, 46, 1550709170.810344
1, 47, 1550709170.810348
1, 48, 1550709170.810352
1, 49, 1550709170.810357
rank, msg_num, timestamp
1, 0, 1550709172.233827
1, 1, 1550709172.314421
1, 2, 1550709172.314448
1, 3, 1550709172.314456
1, 4, 1550709172.314465
1, 5, 1550709172.314472
1, 6, 1550709172.314479
1, 7, 1550709172.314486
1, 8, 1550709172.314494
1, 9, 1550709172.314501
1, 10, 1550709172.314508
1, 11, 1550709172.314514
1, 12, 1550709172.314519
1, 13, 1550709172.314524
1, 14, 1550709172.314529
1, 15, 1550709172.314534
1, 16, 1550709172.314538
1, 17, 1550709172.314543
1, 18, 1550709172.314548
1, 19, 1550709172.314556
1, 20, 1550709172.314561
1, 21, 1550709172.314566
1, 22, 1550709172.314570
1, 23, 1550709172.314576
1, 24, 1550709172.314580
1, 25, 1550709172.314585
1, 26, 1550709172.314590
1, 27, 1550709172.314594
1, 28, 1550709172.314599
1, 29, 1550709172.314615
1, 30, 1550709172.314619
1, 31, 1550709172.314624
1, 32, 1550709172.314628
1, 33, 1550709172.314632
