rank, msg_num, timestamp
2, 0, 1551403131.611353
1, 0, 1551403131.612698
1, 1, 1551403131.612705
2, 1, 1551403131.612766
2, 2, 1551403131.612773
1, 2, 1551403131.612777
2, 3, 1551403131.612781
1, 3, 1551403131.612784
2, 4, 1551403131.612788
1, 4, 1551403131.612792
2, 5, 1551403131.612795
1, 5, 1551403131.612799
2, 6, 1551403131.612802
1, 6, 1551403131.612806
2, 7, 1551403131.612810
1, 7, 1551403131.612813
2, 8, 1551403131.612817
1, 8, 1551403131.612820
2, 9, 1551403131.612825
1, 9, 1551403131.612828
1, 10, 1551403131.641813
1, 11, 1551403131.641839
1, 12, 1551403131.641844
1, 13, 1551403131.641849
1, 14, 1551403131.641852
1, 15, 1551403131.641856
1, 16, 1551403131.641860
1, 17, 1551403131.641863
1, 18, 1551403131.641867
1, 19, 1551403131.641874
1, 20, 1551403131.641878
1, 21, 1551403131.641882
1, 22, 1551403131.641885
1, 23, 1551403131.641889
1, 24, 1551403131.641892
1, 25, 1551403131.641896
1, 26, 1551403131.641901
1, 27, 1551403131.641905
1, 28, 1551403131.641908
1, 29, 1551403131.641912
1, 30, 1551403131.641915
1, 31, 1551403131.641918
1, 32, 1551403131.641922
1, 33, 1551403131.641925
1, 34, 1551403131.641929
1, 35, 1551403131.641932
1, 36, 1551403131.641936
1, 37, 1551403131.641939
1, 38, 1551403131.641943
1, 39, 1551403131.641946
1, 40, 1551403131.641950
1, 41, 1551403131.641953
1, 42, 1551403131.641957
1, 43, 1551403131.641961
1, 44, 1551403131.641964
1, 45, 1551403131.641968
1, 46, 1551403131.641971
1, 47, 1551403131.641975
1, 48, 1551403131.641978
1, 49, 1551403131.641982
1, 50, 1551403131.641985
1, 51, 1551403131.641989
1, 52, 1551403131.641992
1, 53, 1551403131.641995
1, 54, 1551403131.641999
1, 55, 1551403131.642002
1, 56, 1551403131.642006
1, 57, 1551403131.642009
1, 58, 1551403131.642025
1, 59, 1551403131.642031
1, 60, 1551403131.642034
1, 61, 1551403131.642038
1, 62, 1551403131.642041
1, 63, 1551403131.642044
1, 64, 1551403131.642048
1, 65, 1551403131.642052
1, 66, 1551403131.642055
1, 67, 1551403131.642059
1, 68, 1551403131.642062
1, 69, 1551403131.642065
1, 70, 1551403131.642069
1, 71, 1551403131.642072
1, 72, 1551403131.642075
1, 73, 1551403131.642079
1, 74, 1551403131.642082
1, 75, 1551403131.642086
1, 76, 1551403131.642089
1, 77, 1551403131.642092
1, 78, 1551403131.642096
1, 79, 1551403131.642099
1, 80, 1551403131.642103
1, 81, 1551403131.642106
1, 82, 1551403131.642112
1, 83, 1551403131.642116
1, 84, 1551403131.642120
1, 85, 1551403131.642123
1, 86, 1551403131.642126
1, 87, 1551403131.642130
1, 88, 1551403131.642133
1, 89, 1551403131.642137
