rank,msg_num,timestamp
1,0,1551410569.685393
2,0,1551410569.765910
3,0,1551410569.836223
4,0,1551410569.906490
1,1,1551410569.976004
2,1,1551410569.976040
3,1,1551410569.976049
4,1,1551410569.976060
1,2,1551410569.976106
2,2,1551410569.976121
3,2,1551410569.976129
4,2,1551410569.976136
1,3,1551410569.976176
2,3,1551410569.976190
3,3,1551410569.976197
4,3,1551410569.976205
1,4,1551410569.976242
2,4,1551410569.976255
3,4,1551410569.976262
4,4,1551410569.976269
1,5,1551410569.976305
2,5,1551410569.976318
3,5,1551410569.976326
4,5,1551410569.976332
1,6,1551410569.976368
2,6,1551410569.976381
3,6,1551410569.976388
4,6,1551410569.976394
1,7,1551410569.976429
2,7,1551410569.976442
3,7,1551410569.976449
4,7,1551410569.976455
1,8,1551410569.976490
2,8,1551410569.976503
3,8,1551410569.976510
4,8,1551410569.976516
1,9,1551410569.976551
2,9,1551410569.976564
3,9,1551410569.976571
4,9,1551410569.976577
1,10,1551410569.976611
2,10,1551410569.976624
3,10,1551410569.976632
4,10,1551410569.976637
1,11,1551410569.976670
2,11,1551410569.976679
3,11,1551410569.976684
4,11,1551410569.976689
1,12,1551410569.976720
2,12,1551410569.976728
3,12,1551410569.976732
4,12,1551410569.976736
1,13,1551410569.976767
2,13,1551410569.976775
3,13,1551410569.976779
4,13,1551410569.976784
1,14,1551410569.976813
2,14,1551410569.976821
3,14,1551410569.976826
4,14,1551410569.976830
1,15,1551410569.976859
2,15,1551410569.976868
3,15,1551410569.976872
4,15,1551410569.976876
1,16,1551410569.976906
2,16,1551410569.976914
3,16,1551410569.976918
4,16,1551410569.976923
1,17,1551410569.976952
2,17,1551410569.976960
3,17,1551410569.976964
4,17,1551410569.976969
1,18,1551410569.976998
2,18,1551410569.977006
3,18,1551410569.977010
4,18,1551410569.977015
1,19,1551410569.977044
2,19,1551410569.977052
3,19,1551410569.977057
4,19,1551410569.977061
1,20,1551410569.977090
2,20,1551410569.977098
3,20,1551410569.977102
4,20,1551410569.977106
1,21,1551410569.977141
2,21,1551410569.977150
3,21,1551410569.977154
4,21,1551410569.977159
1,22,1551410569.977190
2,22,1551410569.977198
3,22,1551410569.977203
4,22,1551410569.977207
1,23,1551410569.977237
2,23,1551410569.977245
3,23,1551410569.977249
4,23,1551410569.977253
1,24,1551410569.977283
2,24,1551410569.977292
3,24,1551410569.977296
4,24,1551410569.977300
1,25,1551410569.977330
2,25,1551410569.977338
3,25,1551410569.977342
4,25,1551410569.977347
1,26,1551410569.977377
2,26,1551410569.977385
3,26,1551410569.977389
4,26,1551410569.977393
1,27,1551410569.977424
2,27,1551410569.977432
3,27,1551410569.977436
4,27,1551410569.977441
1,28,1551410569.977472
2,28,1551410569.977481
3,28,1551410569.977486
4,28,1551410569.977490
1,29,1551410569.977521
2,29,1551410569.977529
3,29,1551410569.977533
4,29,1551410569.977537
1,30,1551410569.977567
2,30,1551410569.977575
3,30,1551410569.977579
4,30,1551410569.977583
1,31,1551410569.977659
2,31,1551410569.977672
3,31,1551410569.977676
4,31,1551410569.977681
1,32,1551410569.977715
2,32,1551410569.977723
3,32,1551410569.977727
4,32,1551410569.977731
1,33,1551410569.977762
2,33,1551410569.977771
3,33,1551410569.977775
4,33,1551410569.977779
1,34,1551410569.977809
2,34,1551410569.977817
3,34,1551410569.977821
4,34,1551410569.977826
1,35,1551410569.977856
2,35,1551410569.977864
3,35,1551410569.977868
4,35,1551410569.977872
1,36,1551410569.977902
2,36,1551410569.977910
3,36,1551410569.977914
4,36,1551410569.977918
1,37,1551410569.977948
2,37,1551410569.977956
3,37,1551410569.977960
