dest,rate,msg_num,timestamp
1,256,0,1550792534.166053
1,256,1,1550792534.246388
1,256,2,1550792534.246420
1,256,3,1550792534.246427
1,256,4,1550792534.246433
1,256,5,1550792534.246439
1,256,6,1550792534.246445
1,256,7,1550792534.246451
1,256,8,1550792534.246456
1,256,9,1550792534.246461
1,256,10,1550792534.246465
1,256,11,1550792534.246470
1,256,12,1550792534.246474
1,256,13,1550792534.246477
1,256,14,1550792534.246479
1,256,15,1550792534.246482
1,256,16,1550792534.246485
1,256,17,1550792534.246488
1,256,18,1550792534.246491
1,256,19,1550792534.246494
1,256,20,1550792534.246497
1,256,21,1550792534.246500
1,256,22,1550792534.246504
1,256,23,1550792534.246507
1,256,24,1550792534.246510
1,256,25,1550792534.246513
1,256,26,1550792534.246516
1,256,27,1550792534.246519
1,256,28,1550792534.246521
1,256,29,1550792534.246524
1,256,30,1550792534.246527
1,256,31,1550792534.246530
1,256,32,1550792534.246533
1,256,33,1550792534.246536
1,256,34,1550792534.246539
1,256,35,1550792534.246542
1,256,36,1550792534.246545
1,256,37,1550792534.246548
1,256,38,1550792534.246551
1,256,39,1550792534.246554
1,256,40,1550792534.246557
1,256,41,1550792534.246559
1,256,42,1550792534.246562
1,256,43,1550792534.246567
1,256,44,1550792534.246570
1,256,45,1550792534.246573
1,256,46,1550792534.246576
1,256,47,1550792534.246579
1,256,48,1550792534.246582
1,256,49,1550792534.246585
1,256,50,1550792534.246587
1,256,51,1550792534.246590
1,256,52,1550792534.246593
1,256,53,1550792534.246596
1,256,54,1550792534.246599
1,256,55,1550792534.246602
1,256,56,1550792534.246605
1,256,57,1550792534.246608
1,256,58,1550792534.246611
1,256,59,1550792534.246614
1,256,60,1550792534.246617
1,256,61,1550792534.246619
1,256,62,1550792534.246623
1,256,63,1550792534.246625
1,256,64,1550792534.246628
1,256,65,1550792534.246631
1,256,66,1550792534.246634
1,256,67,1550792534.246637
1,256,68,1550792534.246640
1,256,69,1550792534.246643
1,256,70,1550792534.246646
1,256,71,1550792534.246649
1,256,72,1550792534.246652
1,256,73,1550792534.246655
1,256,74,1550792534.246658
1,256,75,1550792534.246661
1,256,76,1550792534.246663
1,256,77,1550792534.246666
1,256,78,1550792534.246669
1,256,79,1550792534.246672
1,256,80,1550792534.246675
1,256,81,1550792534.246678
1,256,82,1550792534.246681
1,256,83,1550792534.246684
1,256,84,1550792534.246687
1,256,85,1550792534.246690
1,256,86,1550792534.246702
1,256,87,1550792534.246705
1,256,88,1550792534.246708
1,256,89,1550792534.246711
1,256,90,1550792534.246714
1,256,91,1550792534.246717
1,256,92,1550792534.246720
1,256,93,1550792534.246722
1,256,94,1550792534.246726
1,256,95,1550792534.246728
1,256,96,1550792534.246731
1,256,97,1550792534.246734
1,256,98,1550792534.246737
1,256,99,1550792534.246740
1,256,100,1550792534.246742
1,256,101,1550792534.246746
1,256,102,1550792534.246748
1,256,103,1550792534.246751
1,256,104,1550792534.246754
1,256,105,1550792534.246757
1,256,106,1550792534.246760
1,256,107,1550792534.246763
1,256,108,1550792534.246766
1,256,109,1550792534.246768
1,256,110,1550792534.246771
1,256,111,1550792534.246774
1,256,112,1550792534.246777
1,256,113,1550792534.246780
1,256,114,1550792534.246783
1,256,115,1550792534.246786
1,256,116,1550792534.246789
1,256,117,1550792534.246791
1,256,118,1550792534.246794
1,256,119,1550792534.246797
1,256,120,1550792534.246800
1,256,121,1550792534.246803
1,256,122,1550792534.246806
1,256,123,1550792534.246809
1,256,124,1550792534.246811
1,256,125,1550792534.246814
1,256,126,1550792534.246817
1,256,127,1550792534.246820
1,256,128,1550792534.246823
1,256,129,1550792534.246826
1,256,130,1550792534.246829
1,256,131,1550792534.246832
1,256,132,1550792534.246835
1,256,133,1550792534.246837
1,256,134,1550792534.246840
1,256,135,1550792534.246843
1,256,136,1550792534.246846
1,256,137,1550792534.246849
1,256,138,1550792534.246852
1,256,139,1550792534.246859
1,256,140,1550792534.246862
1,256,141,1550792534.246865
1,256,142,1550792534.246868
1,256,143,1550792534.246871
1,256,144,1550792534.246873
1,256,145,1550792534.246876
1,256,146,1550792534.246879
1,256,147,1550792534.246882
1,256,148,1550792534.246885
1,256,149,1550792534.246888
1,256,150,1550792534.246891
1,256,151,1550792534.246894
1,256,152,1550792534.246896
1,256,153,1550792534.246899
1,256,154,1550792534.246902
1,256,155,1550792534.246905
1,256,156,1550792534.246908
1,256,157,1550792534.246912
1,256,158,1550792534.246915
1,256,159,1550792534.246918
1,256,160,1550792534.246921
1,256,161,1550792534.246923
1,256,162,1550792534.246926
1,256,163,1550792534.246929
1,256,164,1550792534.246932
1,256,165,1550792534.246935
1,256,166,1550792534.246938
1,256,167,1550792534.246941
1,256,168,1550792534.246943
1,256,169,1550792534.246946
1,256,170,1550792534.246949
1,256,171,1550792534.246956
1,256,172,1550792534.246959
1,256,173,1550792534.246962
1,256,174,1550792534.246965
1,256,175,1550792534.246968
1,256,176,1550792534.246971
1,256,177,1550792534.246974
1,256,178,1550792534.246977
1,256,179,1550792534.246979
1,256,180,1550792534.246983
1,256,181,1550792534.246985
1,256,182,1550792534.246988
1,256,183,1550792534.246991
1,256,184,1550792534.246994
1,256,185,1550792534.246997
1,256,186,1550792534.247000
1,256,187,1550792534.247003
1,256,188,1550792534.247006
1,256,189,1550792534.247009
1,256,190,1550792534.247011
1,256,191,1550792534.247014
1,256,192,1550792534.247017
1,256,193,1550792534.247020
1,256,194,1550792534.247023
1,256,195,1550792534.247026
1,256,196,1550792534.247029
1,256,197,1550792534.247032
1,256,198,1550792534.247035
1,256,199,1550792534.247038
1,256,200,1550792534.247041
1,256,201,1550792534.247044
1,256,202,1550792534.247047
1,256,203,1550792534.247050
1,256,204,1550792534.247053
1,256,205,1550792534.247056
1,256,206,1550792534.247059
1,256,207,1550792534.247062
1,256,208,1550792534.247065
1,256,209,1550792534.247068
1,256,210,1550792534.247071
1,256,211,1550792534.247074
1,256,212,1550792534.247076
1,256,213,1550792534.247079
1,256,214,1550792534.247082
1,256,215,1550792534.247085
1,256,216,1550792534.247088
1,256,217,1550792534.247091
1,256,218,1550792534.247094
1,256,219,1550792534.247097
1,256,220,1550792534.247099
1,256,221,1550792534.247102
1,256,222,1550792534.247105
1,256,223,1550792534.247108
1,256,224,1550792534.247111
1,256,225,1550792534.247114
1,256,226,1550792534.247117
1,256,227,1550792534.247120
1,256,228,1550792534.247123
1,256,229,1550792534.247125
1,256,230,1550792534.247128
1,256,231,1550792534.247131
1,256,232,1550792534.247134
1,256,233,1550792534.247137
1,256,234,1550792534.247140
1,256,235,1550792534.247143
1,256,236,1550792534.247146
1,256,237,1550792534.247149
1,256,238,1550792534.247152
1,256,239,1550792534.247155
1,256,240,1550792534.247158
1,256,241,1550792534.247161
1,256,242,1550792534.247163
1,256,243,1550792534.247166
1,256,244,1550792534.247169
1,256,245,1550792534.247172
1,256,246,1550792534.247175
1,256,247,1550792534.247178
1,256,248,1550792534.247181
1,256,249,1550792534.247184
1,256,250,1550792534.247187
1,256,251,1550792534.247190
1,256,252,1550792534.247193
1,256,253,1550792534.247195
1,256,254,1550792534.247199
1,256,255,1550792534.247201
1,128,0,1550792535.786776
1,128,1,1550792535.866793
1,128,2,1550792535.866823
1,128,3,1550792535.866829
1,128,4,1550792535.866834
1,128,5,1550792535.866839
1,128,6,1550792535.866846
1,128,7,1550792535.866863
1,128,8,1550792535.866868
1,128,9,1550792535.866874
1,128,10,1550792535.866879
1,128,11,1550792535.866883
1,128,12,1550792535.866886
1,128,13,1550792535.866889
1,128,14,1550792535.866892
1,128,15,1550792535.866894
1,128,16,1550792535.866898
1,128,17,1550792535.866900
1,128,18,1550792535.866904
1,128,19,1550792535.866906
1,128,20,1550792535.866909
1,128,21,1550792535.866912
1,128,22,1550792535.866916
1,128,23,1550792535.866919
1,128,24,1550792535.866922
1,128,25,1550792535.866925
1,128,26,1550792535.866928
1,128,27,1550792535.866930
1,128,28,1550792535.866933
1,128,29,1550792535.866936
1,128,30,1550792535.866939
1,128,31,1550792535.866942
1,128,32,1550792535.866945
1,128,33,1550792535.866947
1,128,34,1550792535.866950
1,128,35,1550792535.866953
1,128,36,1550792535.866956
1,128,37,1550792535.866959
1,128,38,1550792535.866961
1,128,39,1550792535.866964
1,128,40,1550792535.866967
1,128,41,1550792535.866970
1,128,42,1550792535.866972
1,128,43,1550792535.866977
1,128,44,1550792535.866980
1,128,45,1550792535.866983
1,128,46,1550792535.866986
1,128,47,1550792535.866988
1,128,48,1550792535.866991
1,128,49,1550792535.866994
1,128,50,1550792535.866997
1,128,51,1550792535.867000
1,128,52,1550792535.867002
1,128,53,1550792535.867005
1,128,54,1550792535.867008
1,128,55,1550792535.867011
1,128,56,1550792535.867013
1,128,57,1550792535.867016
1,128,58,1550792535.867019
1,128,59,1550792535.867022
1,128,60,1550792535.867024
1,128,61,1550792535.867027
1,128,62,1550792535.867030
1,128,63,1550792535.867033
1,128,64,1550792535.867036
1,128,65,1550792535.867038
1,128,66,1550792535.867041
1,128,67,1550792535.867044
1,128,68,1550792535.867047
1,128,69,1550792535.867050
1,128,70,1550792535.867052
1,128,71,1550792535.867055
1,128,72,1550792535.867058
1,128,73,1550792535.867061
1,128,74,1550792535.867064
1,128,75,1550792535.867066
1,128,76,1550792535.867069
1,128,77,1550792535.867072
1,128,78,1550792535.867074
1,128,79,1550792535.867077
1,128,80,1550792535.867080
1,128,81,1550792535.867083
1,128,82,1550792535.867086
1,128,83,1550792535.867089
1,128,84,1550792535.867091
1,128,85,1550792535.867094
1,128,86,1550792535.867108
1,128,87,1550792535.867111
1,128,88,1550792535.867114
1,128,89,1550792535.867116
1,128,90,1550792535.867119
1,128,91,1550792535.867122
1,128,92,1550792535.867125
1,128,93,1550792535.867128
1,128,94,1550792535.867130
1,128,95,1550792535.867133
1,128,96,1550792535.867136
1,128,97,1550792535.867139
1,128,98,1550792535.867142
1,128,99,1550792535.867144
1,128,100,1550792535.867147
1,128,101,1550792535.867150
1,128,102,1550792535.867153
1,128,103,1550792535.867156
1,128,104,1550792535.867158
1,128,105,1550792535.867161
1,128,106,1550792535.867164
1,128,107,1550792535.867167
1,128,108,1550792535.867170
1,128,109,1550792535.867173
1,128,110,1550792535.867175
1,128,111,1550792535.867178
1,128,112,1550792535.867193
1,128,113,1550792535.867196
1,128,114,1550792535.867198
1,128,115,1550792535.867201
1,128,116,1550792535.867204
1,128,117,1550792535.867207
1,128,118,1550792535.867209
1,128,119,1550792535.867212
1,128,120,1550792535.867215
1,128,121,1550792535.867217
1,128,122,1550792535.867220
1,128,123,1550792535.867223
1,128,124,1550792535.867226
1,128,125,1550792535.867229
1,128,126,1550792535.867231
