rank,msg_num,loss%,timestamp
2,0,0.2,1551411960.173314
2,1,0.2,1551411960.173352
2,2,0.2,1551411960.173357
2,3,0.2,1551411960.173362
2,4,0.2,1551411960.173367
2,5,0.2,1551411960.173371
2,6,0.2,1551411960.173374
2,7,0.2,1551411960.173378
2,8,0.2,1551411960.173382
2,9,0.2,1551411960.173386
2,10,0.2,1551411960.173390
2,11,0.2,1551411960.173393
2,12,0.2,1551411960.173397
2,13,0.2,1551411960.173401
2,14,0.2,1551411960.173404
2,15,0.2,1551411960.173407
2,16,0.2,1551411960.173411
2,17,0.2,1551411960.173414
2,18,0.2,1551411960.173419
2,19,0.2,1551411960.173422
2,20,0.2,1551411960.173425
2,21,0.2,1551411960.173429
2,22,0.2,1551411960.173432
2,23,0.2,1551411960.173436
2,24,0.2,1551411960.173439
2,25,0.2,1551411960.173443
2,26,0.2,1551411960.173446
2,27,0.2,1551411960.244927
2,28,0.2,1551411960.244954
2,29,0.2,1551411960.244964
2,30,0.2,1551411960.244967
2,31,0.2,1551411960.244971
2,32,0.2,1551411960.244974
2,33,0.2,1551411960.244979
2,34,0.2,1551411960.244982
2,35,0.2,1551411960.244986
2,36,0.2,1551411960.244996
2,37,0.2,1551411960.245000
2,38,0.2,1551411960.245003
2,39,0.2,1551411960.245007
2,40,0.2,1551411960.245010
2,41,0.2,1551411960.245014
2,42,0.2,1551411960.245017
2,43,0.2,1551411960.245020
2,44,0.2,1551411960.245024
2,45,0.2,1551411960.245028
2,46,0.2,1551411960.245031
2,47,0.2,1551411960.245034
2,48,0.2,1551411960.245037
2,49,0.2,1551411960.245041
2,50,0.2,1551411960.245044
2,51,0.2,1551411960.245047
2,52,0.2,1551411960.245050
2,53,0.2,1551411960.245054
2,54,0.2,1551411960.245057
2,55,0.2,1551411960.245060
2,56,0.2,1551411960.245063
2,57,0.2,1551411960.245067
2,58,0.2,1551411960.245070
2,59,0.2,1551411960.245073
2,60,0.2,1551411960.245076
2,61,0.2,1551411960.278327
2,62,0.2,1551411960.278340
2,63,0.2,1551411960.278344
2,64,0.2,1551411960.278347
2,65,0.2,1551411960.278351
2,66,0.2,1551411960.278354
2,67,0.2,1551411960.278358
2,68,0.2,1551411960.278361
2,69,0.2,1551411960.278364
2,70,0.2,1551411960.278373
2,71,0.2,1551411960.278377
2,72,0.2,1551411960.278380
2,73,0.2,1551411960.278384
2,74,0.2,1551411960.278387
2,75,0.2,1551411960.278390
2,76,0.2,1551411960.278394
2,77,0.2,1551411960.278397
2,78,0.2,1551411960.278400
2,79,0.2,1551411960.278404
2,80,0.2,1551411960.278407
2,81,0.2,1551411960.278410
2,82,0.2,1551411960.278413
2,83,0.2,1551411960.278417
2,84,0.2,1551411960.278432
2,85,0.2,1551411960.278437
2,86,0.2,1551411960.278441
2,87,0.2,1551411960.278444
2,88,0.2,1551411960.278448
2,89,0.2,1551411960.278451
2,90,0.2,1551411960.278454
2,91,0.2,1551411960.278457
2,92,0.2,1551411960.278461
2,93,0.2,1551411960.278464
2,94,0.2,1551411960.278467
2,95,0.2,1551411960.278529
2,96,0.2,1551411960.278534
2,97,0.2,1551411960.278538
2,98,0.2,1551411960.278541
2,99,0.2,1551411960.278544
2,0,0.4,1551411960.316994
2,1,0.4,1551411960.317024
2,2,0.4,1551411960.317030
2,3,0.4,1551411960.317035
2,4,0.4,1551411960.317039
2,5,0.4,1551411960.317042
2,6,0.4,1551411960.317045
2,7,0.4,1551411960.317049
2,8,0.4,1551411960.317053
2,9,0.4,1551411960.317056
2,10,0.4,1551411960.317060
