rank,msg_num,loss%,timestamp
1,0,0.2,1551411959.240996
2,0,0.2,1551411959.300354
1,1,0.2,1551411959.367908
2,1,0.2,1551411959.367943
1,2,0.2,1551411959.367953
2,2,0.2,1551411959.367960
1,3,0.2,1551411959.367968
2,3,0.2,1551411959.367975
1,4,0.2,1551411959.367985
2,4,0.2,1551411959.367994
1,5,0.2,1551411959.368002
2,5,0.2,1551411959.368010
1,6,0.2,1551411959.368018
2,6,0.2,1551411959.368028
1,7,0.2,1551411959.368037
2,7,0.2,1551411959.368044
1,8,0.2,1551411959.368051
2,8,0.2,1551411959.368059
1,9,0.2,1551411959.368068
2,9,0.2,1551411959.368076
1,10,0.2,1551411959.368083
2,10,0.2,1551411959.368088
1,11,0.2,1551411959.368094
2,11,0.2,1551411959.368099
1,12,0.2,1551411959.368104
2,12,0.2,1551411959.368109
1,13,0.2,1551411959.368115
2,13,0.2,1551411959.368119
1,14,0.2,1551411959.368124
2,14,0.2,1551411959.368133
1,15,0.2,1551411959.368140
2,15,0.2,1551411959.368145
1,16,0.2,1551411959.368150
2,16,0.2,1551411959.368154
1,17,0.2,1551411959.368160
2,17,0.2,1551411959.368165
1,18,0.2,1551411959.368171
2,18,0.2,1551411959.368176
1,19,0.2,1551411959.368181
2,19,0.2,1551411959.368186
1,20,0.2,1551411959.368191
2,20,0.2,1551411959.368195
1,21,0.2,1551411959.368200
2,21,0.2,1551411959.368205
1,22,0.2,1551411959.368210
2,22,0.2,1551411959.368215
1,23,0.2,1551411959.368220
2,23,0.2,1551411959.368225
1,24,0.2,1551411959.368230
2,24,0.2,1551411959.368234
1,25,0.2,1551411959.368239
2,25,0.2,1551411959.368243
1,26,0.2,1551411959.368248
2,26,0.2,1551411959.368253
1,27,0.2,1551411959.368258
2,27,0.2,1551411959.368263
1,28,0.2,1551411959.368268
2,28,0.2,1551411959.368273
1,29,0.2,1551411959.368278
2,29,0.2,1551411959.368283
1,30,0.2,1551411959.368288
2,30,0.2,1551411959.368292
1,31,0.2,1551411959.368297
2,31,0.2,1551411959.368302
1,32,0.2,1551411959.368306
2,32,0.2,1551411959.368311
1,33,0.2,1551411959.368316
2,33,0.2,1551411959.368320
1,34,0.2,1551411959.368325
2,34,0.2,1551411959.368330
1,35,0.2,1551411959.368335
2,35,0.2,1551411959.368343
1,36,0.2,1551411959.368348
2,36,0.2,1551411959.368352
1,37,0.2,1551411959.368358
2,37,0.2,1551411959.368365
1,38,0.2,1551411959.368369
2,38,0.2,1551411959.368374
1,39,0.2,1551411959.368379
2,39,0.2,1551411959.368383
1,40,0.2,1551411959.368388
2,40,0.2,1551411959.368393
1,41,0.2,1551411959.368398
2,41,0.2,1551411959.368402
1,42,0.2,1551411959.368407
2,42,0.2,1551411959.368412
1,43,0.2,1551411959.368417
2,43,0.2,1551411959.368422
1,44,0.2,1551411959.368427
2,44,0.2,1551411959.368432
1,45,0.2,1551411959.368438
2,45,0.2,1551411959.368442
1,46,0.2,1551411959.368447
2,46,0.2,1551411959.368451
1,47,0.2,1551411959.368456
2,47,0.2,1551411959.368461
1,48,0.2,1551411959.368465
2,48,0.2,1551411959.368470
1,49,0.2,1551411959.368475
2,49,0.2,1551411959.368479
1,50,0.2,1551411959.368484
2,50,0.2,1551411959.368489
1,51,0.2,1551411959.368494
2,51,0.2,1551411959.368498
1,52,0.2,1551411959.368503
2,52,0.2,1551411959.368507
1,53,0.2,1551411959.368512
2,53,0.2,1551411959.368517
1,54,0.2,1551411959.368521
2,54,0.2,1551411959.368526
1,55,0.2,1551411959.368531
2,55,0.2,1551411959.368535
1,56,0.2,1551411959.368540
2,56,0.2,1551411959.368545
1,57,0.2,1551411959.368549
2,57,0.2,1551411959.368554
1,58,0.2,1551411959.368559
2,58,0.2,1551411959.368564
1,59,0.2,1551411959.368569
2,59,0.2,1551411959.368573
1,60,0.2,1551411959.368578
2,60,0.2,1551411959.368583
1,61,0.2,1551411959.368587
2,61,0.2,1551411959.368592
1,62,0.2,1551411959.368597
2,62,0.2,1551411959.368602
1,63,0.2,1551411959.368607
2,63,0.2,1551411959.368611
1,64,0.2,1551411959.368616
2,64,0.2,1551411959.368620
1,65,0.2,1551411959.368625
2,65,0.2,1551411959.368629
1,66,0.2,1551411959.368634
2,66,0.2,1551411959.368639
1,67,0.2,1551411959.368646
2,67,0.2,1551411959.368651
1,68,0.2,1551411959.368656
2,68,0.2,1551411959.368660
1,69,0.2,1551411959.368666
2,69,0.2,1551411959.368670
1,70,0.2,1551411959.368675
2,70,0.2,1551411959.368680
1,71,0.2,1551411959.368685
2,71,0.2,1551411959.368689
1,72,0.2,1551411959.368694
2,72,0.2,1551411959.368698
1,73,0.2,1551411959.368703
2,73,0.2,1551411959.368708
1,74,0.2,1551411959.368712
2,74,0.2,1551411959.368717
1,75,0.2,1551411959.368725
2,75,0.2,1551411959.368730
1,76,0.2,1551411959.368734
2,76,0.2,1551411959.368739
1,77,0.2,1551411959.368743
2,77,0.2,1551411959.368748
1,78,0.2,1551411959.368753
2,78,0.2,1551411959.368758
1,79,0.2,1551411959.368763
2,79,0.2,1551411959.368767
1,80,0.2,1551411959.368772
2,80,0.2,1551411959.368776
1,81,0.2,1551411959.368781
2,81,0.2,1551411959.368785
1,82,0.2,1551411959.368790
2,82,0.2,1551411959.368794
1,83,0.2,1551411959.368799
2,83,0.2,1551411959.368804
1,84,0.2,1551411959.368808
2,84,0.2,1551411959.368813
1,85,0.2,1551411959.368817
2,85,0.2,1551411959.368822
1,86,0.2,1551411959.368826
2,86,0.2,1551411959.368831
1,87,0.2,1551411959.368835
2,87,0.2,1551411959.368840
1,88,0.2,1551411959.368845
2,88,0.2,1551411959.368849
1,89,0.2,1551411959.368854
2,89,0.2,1551411959.368858
1,90,0.2,1551411959.368863
2,90,0.2,1551411959.368867
1,91,0.2,1551411959.368872
2,91,0.2,1551411959.368876
1,92,0.2,1551411959.368881
2,92,0.2,1551411959.368886
1,93,0.2,1551411959.368890
2,93,0.2,1551411959.368895
1,94,0.2,1551411959.368899
2,94,0.2,1551411959.368904
1,95,0.2,1551411959.368908
2,95,0.2,1551411959.368913
1,96,0.2,1551411959.368918
2,96,0.2,1551411959.368923
1,97,0.2,1551411959.368928
2,97,0.2,1551411959.368932
1,98,0.2,1551411959.368937
2,98,0.2,1551411959.368943
1,99,0.2,1551411959.368948
2,99,0.2,1551411959.368953
1,0,0.4,1551411959.407391
2,0,0.4,1551411959.407454
1,1,0.4,1551411959.407468
2,1,0.4,1551411959.407476
1,2,0.4,1551411959.407487
2,2,0.4,1551411959.407492
1,3,0.4,1551411959.407497
2,3,0.4,1551411959.407501
1,4,0.4,1551411959.407506
2,4,0.4,1551411959.407511
1,5,0.4,1551411959.407515
2,5,0.4,1551411959.407520
1,6,0.4,1551411959.407525
2,6,0.4,1551411959.407535
1,7,0.4,1551411959.407540
2,7,0.4,1551411959.407545
1,8,0.4,1551411959.407550
2,8,0.4,1551411959.407554
1,9,0.4,1551411959.407559
2,9,0.4,1551411959.407563
