rank, msg_num, loss%, timestamp
1, 0, 0.2, 1551418753.041451
1, 1, 0.2, 1551418753.041488
1, 2, 0.2, 1551418753.041494
1, 3, 0.2, 1551418753.041498
1, 4, 0.2, 1551418753.041503
1, 5, 0.2, 1551418753.041506
1, 6, 0.2, 1551418753.041509
1, 7, 0.2, 1551418753.041513
1, 8, 0.2, 1551418753.041519
1, 9, 0.2, 1551418753.041522
1, 10, 0.2, 1551418753.144268
1, 11, 0.2, 1551418753.144290
1, 12, 0.2, 1551418753.144295
1, 13, 0.2, 1551418753.144299
1, 14, 0.2, 1551418753.144302
1, 15, 0.2, 1551418753.144306
1, 16, 0.2, 1551418753.144309
1, 17, 0.2, 1551418753.144312
1, 18, 0.2, 1551418753.144319
1, 19, 0.2, 1551418753.144322
1, 20, 0.2, 1551418753.144325
1, 21, 0.2, 1551418753.144329
1, 22, 0.2, 1551418753.144332
1, 23, 0.2, 1551418753.144336
1, 24, 0.2, 1551418753.144339
1, 25, 0.2, 1551418753.144347
1, 26, 0.2, 1551418753.144351
1, 27, 0.2, 1551418753.144356
1, 28, 0.2, 1551418753.144361
1, 29, 0.2, 1551418753.144366
1, 30, 0.2, 1551418753.144370
1, 31, 0.2, 1551418753.144373
1, 32, 0.2, 1551418753.144378
1, 33, 0.2, 1551418753.144382
1, 34, 0.2, 1551418753.144385
1, 35, 0.2, 1551418753.144394
1, 36, 0.2, 1551418753.144401
1, 37, 0.2, 1551418753.144405
1, 38, 0.2, 1551418753.144408
1, 39, 0.2, 1551418753.144412
1, 40, 0.2, 1551418753.144415
1, 41, 0.2, 1551418753.144418
1, 42, 0.2, 1551418753.144422
1, 43, 0.2, 1551418753.144425
1, 44, 0.2, 1551418753.144428
1, 45, 0.2, 1551418753.144432
1, 46, 0.2, 1551418753.144435
1, 47, 0.2, 1551418753.144439
1, 48, 0.2, 1551418753.144442
1, 49, 0.2, 1551418753.144445
1, 50, 0.2, 1551418753.144449
1, 51, 0.2, 1551418753.144452
1, 52, 0.2, 1551418753.144455
1, 53, 0.2, 1551418753.144459
1, 54, 0.2, 1551418753.144462
1, 55, 0.2, 1551418753.144465
1, 56, 0.2, 1551418753.144476
1, 57, 0.2, 1551418753.144479
1, 58, 0.2, 1551418753.144482
1, 59, 0.2, 1551418753.144486
1, 60, 0.2, 1551418753.144489
1, 61, 0.2, 1551418753.144492
1, 62, 0.2, 1551418753.144496
1, 63, 0.2, 1551418753.144499
1, 64, 0.2, 1551418753.144502
1, 65, 0.2, 1551418753.144506
1, 66, 0.2, 1551418753.144509
1, 67, 0.2, 1551418753.144512
1, 68, 0.2, 1551418753.144515
1, 69, 0.2, 1551418753.144518
1, 70, 0.2, 1551418753.144522
1, 71, 0.2, 1551418753.144530
1, 72, 0.2, 1551418753.144539
1, 73, 0.2, 1551418753.144542
1, 74, 0.2, 1551418753.144546
1, 75, 0.2, 1551418753.144549
1, 76, 0.2, 1551418753.144552
1, 77, 0.2, 1551418753.144556
1, 78, 0.2, 1551418753.144559
1, 79, 0.2, 1551418753.144562
1, 80, 0.2, 1551418753.144565
1, 81, 0.2, 1551418753.144569
1, 82, 0.2, 1551418753.144572
1, 83, 0.2, 1551418753.144575
1, 84, 0.2, 1551418753.144578
1, 85, 0.2, 1551418753.144581
1, 86, 0.2, 1551418753.144585
1, 87, 0.2, 1551418753.144588
1, 88, 0.2, 1551418753.144591
1, 89, 0.2, 1551418753.144595
1, 90, 0.2, 1551418753.144598
1, 91, 0.2, 1551418753.144601
1, 92, 0.2, 1551418753.144604
1, 93, 0.2, 1551418753.144608
1, 94, 0.2, 1551418753.144611
1, 95, 0.2, 1551418753.144614
1, 96, 0.2, 1551418753.144618
1, 97, 0.2, 1551418753.144621
1, 98, 0.2, 1551418753.144624
1, 99, 0.2, 1551418753.144627
1, 0, 0.4, 1551418753.183863
1, 1, 0.4, 1551418753.183896
1, 2, 0.4, 1551418753.183901
1, 3, 0.4, 1551418753.183905
1, 4, 0.4, 1551418753.183910
1, 5, 0.4, 1551418753.183913
1, 6, 0.4, 1551418753.183917
1, 7, 0.4, 1551418753.183921
1, 8, 0.4, 1551418753.183925
1, 9, 0.4, 1551418753.183928
1, 10, 0.4, 1551418753.183932
1, 11, 0.4, 1551418753.183936
1, 12, 0.4, 1551418753.183939
1, 13, 0.4, 1551418753.183944
1, 14, 0.4, 1551418753.183948
1, 15, 0.4, 1551418753.183951
1, 16, 0.4, 1551418753.183955
1, 17, 0.4, 1551418753.183959
1, 18, 0.4, 1551418753.183963
1, 19, 0.4, 1551418753.183966
1, 20, 0.4, 1551418753.183970
1, 21, 0.4, 1551418753.183974
1, 22, 0.4, 1551418753.183978
1, 23, 0.4, 1551418753.183981
1, 24, 0.4, 1551418753.183985
