rank, msg_num, loss%, timestamp
0, 0, 0.02, 1550725201.337700
0, 1, 0.02, 1550725201.337727
0, 2, 0.02, 1550725201.337734
0, 3, 0.02, 1550725201.337738
0, 4, 0.02, 1550725201.337744
0, 5, 0.02, 1550725201.337748
0, 6, 0.02, 1550725201.337751
0, 7, 0.02, 1550725201.337755
0, 8, 0.02, 1550725201.337760
0, 9, 0.02, 1550725201.337766
0, 10, 0.02, 1550725201.337769
0, 11, 0.02, 1550725201.337773
0, 12, 0.02, 1550725201.337777
0, 13, 0.02, 1550725201.337781
0, 14, 0.02, 1550725201.337784
0, 15, 0.02, 1550725201.337788
0, 16, 0.02, 1550725201.337799
0, 17, 0.02, 1550725201.337802
0, 18, 0.02, 1550725201.337808
0, 19, 0.02, 1550725201.337811
0, 20, 0.02, 1550725201.337815
0, 21, 0.02, 1550725201.337818
0, 22, 0.02, 1550725201.337821
0, 23, 0.02, 1550725201.337826
0, 24, 0.02, 1550725201.337829
0, 25, 0.02, 1550725201.337832
0, 26, 0.02, 1550725201.337836
0, 27, 0.02, 1550725201.337839
0, 28, 0.02, 1550725201.337844
0, 29, 0.02, 1550725201.337851
0, 30, 0.02, 1550725201.337854
0, 31, 0.02, 1550725201.337858
0, 32, 0.02, 1550725201.337861
0, 33, 0.02, 1550725201.337866
0, 34, 0.02, 1550725201.337870
0, 35, 0.02, 1550725201.337873
0, 36, 0.02, 1550725201.337879
0, 37, 0.02, 1550725201.337882
0, 38, 0.02, 1550725201.337886
0, 39, 0.02, 1550725201.337889
0, 40, 0.02, 1550725201.337893
0, 41, 0.02, 1550725201.337896
0, 42, 0.02, 1550725201.337899
0, 43, 0.02, 1550725201.337903
0, 44, 0.02, 1550725201.337908
0, 45, 0.02, 1550725201.337911
0, 46, 0.02, 1550725201.337914
0, 47, 0.02, 1550725201.337918
0, 48, 0.02, 1550725201.337927
0, 49, 0.02, 1550725201.337930
0, 50, 0.02, 1550725201.337934
0, 51, 0.02, 1550725201.337937
0, 52, 0.02, 1550725201.337941
0, 53, 0.02, 1550725201.337945
0, 54, 0.02, 1550725201.337948
0, 55, 0.02, 1550725201.337951
0, 56, 0.02, 1550725201.337955
0, 57, 0.02, 1550725201.337958
0, 58, 0.02, 1550725201.337961
0, 59, 0.02, 1550725201.337965
0, 60, 0.02, 1550725201.337968
0, 61, 0.02, 1550725201.337972
0, 62, 0.02, 1550725201.337975
0, 63, 0.02, 1550725201.337979
0, 64, 0.02, 1550725201.337982
0, 65, 0.02, 1550725201.337986
0, 66, 0.02, 1550725201.337989
0, 67, 0.02, 1550725201.337992
0, 68, 0.02, 1550725201.337996
0, 69, 0.02, 1550725201.337999
0, 70, 0.02, 1550725201.338003
0, 71, 0.02, 1550725201.338006
0, 72, 0.02, 1550725201.338010
0, 73, 0.02, 1550725201.338013
0, 74, 0.02, 1550725201.338017
0, 75, 0.02, 1550725201.338024
0, 76, 0.02, 1550725201.338028
0, 77, 0.02, 1550725201.338031
0, 78, 0.02, 1550725201.338035
0, 79, 0.02, 1550725201.347672
0, 80, 0.02, 1550725201.355469
0, 81, 0.02, 1550725201.355489
0, 82, 0.02, 1550725201.355493
0, 83, 0.02, 1550725201.355497
0, 84, 0.02, 1550725201.355500
0, 85, 0.02, 1550725201.355504
0, 86, 0.02, 1550725201.355507
0, 87, 0.02, 1550725201.355512
0, 88, 0.02, 1550725201.355516
0, 89, 0.02, 1550725201.355519
0, 90, 0.02, 1550725201.355523
0, 91, 0.02, 1550725201.355526
0, 92, 0.02, 1550725201.355530
0, 93, 0.02, 1550725201.355533
0, 94, 0.02, 1550725201.355537
0, 95, 0.02, 1550725201.355540
0, 96, 0.02, 1550725201.355543
0, 97, 0.02, 1550725201.355547
0, 98, 0.02, 1550725201.355550
0, 99, 0.02, 1550725201.355554
0, 0, 0.04, 1550725201.453928
0, 1, 0.04, 1550725201.453950
0, 2, 0.04, 1550725201.453956
0, 3, 0.04, 1550725201.453961
0, 4, 0.04, 1550725201.453965
0, 5, 0.04, 1550725201.453969
0, 6, 0.04, 1550725201.453973
0, 7, 0.04, 1550725201.453978
0, 8, 0.04, 1550725201.453982
0, 9, 0.04, 1550725201.453985
0, 10, 0.04, 1550725201.453990
0, 11, 0.04, 1550725201.453994
0, 12, 0.04, 1550725201.454025
0, 13, 0.04, 1550725201.454029
0, 14, 0.04, 1550725201.454032
0, 15, 0.04, 1550725201.454036
0, 16, 0.04, 1550725201.454040
0, 17, 0.04, 1550725201.454047
0, 18, 0.04, 1550725201.454051
0, 19, 0.04, 1550725201.454055
0, 20, 0.04, 1550725201.454058
0, 21, 0.04, 1550725201.454062
0, 22, 0.04, 1550725201.454065
0, 23, 0.04, 1550725201.454069
0, 24, 0.04, 1550725201.454072
0, 25, 0.04, 1550725201.454075
0, 26, 0.04, 1550725201.454090
0, 27, 0.04, 1550725201.454094
0, 28, 0.04, 1550725201.454097
0, 29, 0.04, 1550725201.454100
0, 30, 0.04, 1550725201.454104
0, 31, 0.04, 1550725201.454107
0, 32, 0.04, 1550725201.454111
0, 33, 0.04, 1550725201.454114
0, 34, 0.04, 1550725201.454118
0, 35, 0.04, 1550725201.454122
0, 36, 0.04, 1550725201.454125
0, 37, 0.04, 1550725201.454132
0, 38, 0.04, 1550725201.454136
0, 39, 0.04, 1550725201.454140
0, 40, 0.04, 1550725201.454143
0, 41, 0.04, 1550725201.454147
0, 42, 0.04, 1550725201.454150
0, 43, 0.04, 1550725201.454154
0, 44, 0.04, 1550725201.454158
0, 45, 0.04, 1550725201.463673
0, 46, 0.04, 1550725201.463692
0, 47, 0.04, 1550725201.463696
0, 48, 0.04, 1550725201.463699
0, 49, 0.04, 1550725201.463703
0, 50, 0.04, 1550725201.463706
0, 51, 0.04, 1550725201.463710
0, 52, 0.04, 1550725201.463713
0, 53, 0.04, 1550725201.463717
0, 54, 0.04, 1550725201.463720
0, 55, 0.04, 1550725201.463725
0, 56, 0.04, 1550725201.463728
0, 57, 0.04, 1550725201.463732
0, 58, 0.04, 1550725201.463735
0, 59, 0.04, 1550725201.463738
0, 60, 0.04, 1550725201.463742
0, 61, 0.04, 1550725201.463745
0, 62, 0.04, 1550725201.463748
0, 63, 0.04, 1550725201.463751
0, 64, 0.04, 1550725201.463755
0, 65, 0.04, 1550725201.463758
0, 66, 0.04, 1550725201.463762
0, 67, 0.04, 1550725201.463765
0, 68, 0.04, 1550725201.463768
