rank, msg_num, payload_size, timestamp
1, 0 1, 1550715028.601850
1, 1 1, 1550715028.682103
1, 2 1, 1550715028.682133
1, 3 1, 1550715028.682142
1, 4 1, 1550715028.682151
1, 5 1, 1550715028.682159
1, 6 1, 1550715028.682167
1, 7 1, 1550715028.682174
1, 8 1, 1550715028.682182
1, 9 1, 1550715028.682194
1, 10 1, 1550715028.682201
1, 11 1, 1550715028.682206
1, 12 1, 1550715028.682211
1, 13 1, 1550715028.682217
1, 14 1, 1550715028.682222
1, 15 1, 1550715028.682226
1, 16 1, 1550715028.682231
1, 17 1, 1550715028.682236
1, 18 1, 1550715028.682240
1, 19 1, 1550715028.682246
1, 20 1, 1550715028.682250
1, 21 1, 1550715028.682269
1, 22 1, 1550715028.682275
1, 23 1, 1550715028.682281
1, 24 1, 1550715028.682287
1, 25 1, 1550715028.682291
1, 26 1, 1550715028.682296
1, 27 1, 1550715028.682301
1, 28 1, 1550715028.682306
1, 29 1, 1550715028.682311
1, 30 1, 1550715028.682316
1, 31 1, 1550715028.682321
1, 32 1, 1550715028.682326
1, 33 1, 1550715028.682330
1, 34 1, 1550715028.682335
1, 35 1, 1550715028.682340
1, 36 1, 1550715028.682346
1, 37 1, 1550715028.682355
1, 38 1, 1550715028.682360
1, 39 1, 1550715028.682365
1, 40 1, 1550715028.682369
1, 41 1, 1550715028.682374
1, 42 1, 1550715028.682379
1, 43 1, 1550715028.682384
1, 44 1, 1550715028.682389
1, 45 1, 1550715028.682394
1, 46 1, 1550715028.682399
1, 47 1, 1550715028.682404
1, 48 1, 1550715028.682408
1, 49 1, 1550715028.682413
1, 50 1, 1550715028.682418
1, 51 1, 1550715028.682423
1, 52 1, 1550715028.682428
1, 53 1, 1550715028.682433
1, 54 1, 1550715028.682437
1, 55 1, 1550715028.682442
1, 56 1, 1550715028.682447
1, 57 1, 1550715028.682452
1, 58 1, 1550715028.682457
1, 59 1, 1550715028.682462
1, 60 1, 1550715028.682466
1, 61 1, 1550715028.682471
1, 62 1, 1550715028.682476
1, 63 1, 1550715028.682481
1, 64 1, 1550715028.682486
1, 65 1, 1550715028.682491
1, 66 1, 1550715028.682496
1, 67 1, 1550715028.682500
1, 68 1, 1550715028.682505
1, 69 1, 1550715028.682510
1, 70 1, 1550715028.682515
1, 71 1, 1550715028.682520
1, 72 1, 1550715028.682527
1, 73 1, 1550715028.682532
1, 74 1, 1550715028.682537
1, 75 1, 1550715028.682541
1, 76 1, 1550715028.682546
1, 77 1, 1550715028.682551
1, 78 1, 1550715028.682556
1, 79 1, 1550715028.682564
1, 80 1, 1550715028.682569
1, 81 1, 1550715028.682573
1, 82 1, 1550715028.682577
1, 83 1, 1550715028.682582
1, 84 1, 1550715028.682587
1, 85 1, 1550715028.682591
1, 86 1, 1550715028.682596
1, 87 1, 1550715028.682600
1, 88 1, 1550715028.682605
1, 89 1, 1550715028.682610
1, 90 1, 1550715028.682614
1, 91 1, 1550715028.682619
1, 92 1, 1550715028.682623
1, 93 1, 1550715028.682628
1, 94 1, 1550715028.682632
1, 95 1, 1550715028.682636
1, 96 1, 1550715028.682641
1, 97 1, 1550715028.682646
1, 98 1, 1550715028.682650
1, 99 1, 1550715028.682654
1, 0 2, 1550715028.682660
1, 1 2, 1550715028.682665
1, 2 2, 1550715028.682670
1, 3 2, 1550715028.682674
1, 4 2, 1550715028.682679
1, 5 2, 1550715028.682683
1, 6 2, 1550715028.682688
1, 7 2, 1550715028.682693
1, 8 2, 1550715028.682697
1, 9 2, 1550715028.682702
1, 10 2, 1550715028.682706
1, 11 2, 1550715028.682711
1, 12 2, 1550715028.682715
1, 13 2, 1550715028.682720
1, 14 2, 1550715028.682724
1, 15 2, 1550715028.682729
1, 16 2, 1550715028.682733
1, 17 2, 1550715028.682738
1, 18 2, 1550715028.682743
1, 19 2, 1550715028.682747
1, 20 2, 1550715028.682752
1, 21 2, 1550715028.682756
1, 22 2, 1550715028.682761
1, 23 2, 1550715028.682765
1, 24 2, 1550715028.682770
1, 25 2, 1550715028.682774
1, 26 2, 1550715028.682779
1, 27 2, 1550715028.682783
1, 28 2, 1550715028.682788
1, 29 2, 1550715028.682792
1, 30 2, 1550715028.682797
1, 31 2, 1550715028.682801
1, 32 2, 1550715028.682806
1, 33 2, 1550715028.682811
1, 34 2, 1550715028.682815
1, 35 2, 1550715028.682822
1, 36 2, 1550715028.682827
1, 37 2, 1550715028.682831
1, 38 2, 1550715028.682836
1, 39 2, 1550715028.682840
1, 40 2, 1550715028.682845
1, 41 2, 1550715028.682850
1, 42 2, 1550715028.682854
1, 43 2, 1550715028.682859
1, 44 2, 1550715028.682863
1, 45 2, 1550715028.682868
1, 46 2, 1550715028.682872
1, 47 2, 1550715028.682876
1, 48 2, 1550715028.682881
1, 49 2, 1550715028.682886
1, 50 2, 1550715028.682890
1, 51 2, 1550715028.682895
1, 52 2, 1550715028.682899
1, 53 2, 1550715028.682904
1, 54 2, 1550715028.682908
1, 55 2, 1550715028.682913
1, 56 2, 1550715028.682917
1, 57 2, 1550715028.682922
1, 58 2, 1550715028.682926
1, 59 2, 1550715028.682931
1, 60 2, 1550715028.682935
1, 61 2, 1550715028.682940
1, 62 2, 1550715028.682945
1, 63 2, 1550715028.682949
1, 64 2, 1550715028.682970
1, 65 2, 1550715028.682975
1, 66 2, 1550715028.682992
1, 67 2, 1550715028.682997
1, 68 2, 1550715028.683001
1, 69 2, 1550715028.683005
1, 70 2, 1550715028.683009
1, 71 2, 1550715028.683013
1, 72 2, 1550715028.683028
1, 73 2, 1550715028.683033
